Service_Type,Year,Sample_ID,Sample_Type,Sample_Description,Analysis Requested,Location,Transect,Distance_m,Type,Direction,Residue,PUF_ngm3,Filter_ngcm2,,,,
Standard,2020,7/03 T3.1,Filter Paper,"Transect 3, Row 1","2,4-D",Southeast,"Transect 3 (SE, downwind)",0.761962816,multiple,Downwind,55600,,314.836,,,,
Standard,2020,7/03 T3.2,Filter Paper,"Transect 3, Row 2","2,4-D",Southeast,"Transect 3 (SE, downwind)",1.523925632,multiple,Downwind,2470,,13.986,,,,
Standard,2020,7/03 T3.4,Filter Paper,"Transect 3, Row 4","2,4-D",Southeast,"Transect 3 (SE, downwind)",3.047851265,multiple,Downwind,1420,,8.041,,,,
Standard,2020,7/03 T3.8,Filter Paper,"Transect 3, Row 8","2,4-D",Southeast,"Transect 3 (SE, downwind)",6.09570253,multiple,Downwind,196,,1.11,,,,
Standard,2020,7/03 T3.16,Filter Paper,"Transect 3, Row 16","2,4-D",Southeast,"Transect 3 (SE, downwind)",12.19140506,multiple,Downwind,118,,0.668,,,,
Standard,2020,7/03 T3.32,Filter Paper,"Transect 3, Row 32","2,4-D",Southeast,"Transect 3 (SE, downwind)",24.38281012,multiple,Downwind,25.6,,0.145,,,,
Standard,2020,7/03 IN N3,Filter Paper,In-swath (North 3),"2,4-D",Northcentral,"Transect 4 (NW, upwind)",0,few,Upwind,1090000,,6172.14,,,,
Standard,2020,7/03 T4.1,Filter Paper,"Transect 4, Row 1","2,4-D",Northcentral,"Transect 4 (NW, upwind)",0.761962816,multiple,Upwind,3.93,,0.022,,,,
Standard,2020,7/03 T4.2,Filter Paper,"Transect 4, Row 2","2,4-D",Northcentral,"Transect 4 (NW, upwind)",1.523925632,multiple,Upwind,3.14,,0.018,,,,
Standard,2020,7/03 T4.4,Filter Paper,"Transect 4, Row 4","2,4-D",Northcentral,"Transect 4 (NW, upwind)",3.047851265,multiple,Upwind,0,,0,,,,
Standard,2020,7/03 T4.8,Filter Paper,"Transect 4, Row 8","2,4-D",Northcentral,"Transect 4 (NW, upwind)",6.09570253,multiple,Upwind,28.6,,0.162,,,,
Standard,2020,7/03 T4.16,Filter Paper,"Transect 4, Row 16","2,4-D",Northcentral,"Transect 4 (NW, upwind)",12.19140506,multiple,Upwind,0,,0,,,,
Standard,2020,7/03 T4.32,Filter Paper,"Transect 4, Row 32","2,4-D",Northcentral,"Transect 4 (NW, upwind)",24.38281012,multiple,Upwind,0,,0,,,,
Standard,2020,7/03 IN S1,Filter Paper,In-swath (South 1),"2,4-D",In-swath,,0,few,In-swath,890000,,5039.638,,5625.707833,437.9550335,178.7943937
Standard,2020,7/03 IN S2,Filter Paper,In-swath (South 2),"2,4-D",In-swath,,0,few,In-swath,984000,,5571.914,,,,
Standard,2020,7/03 IN N1,Filter Paper,In-swath (North 1),"2,4-D",In-swath,,0,few,In-swath,1000000,,5662.514,,,,
Standard,2020,7/03 IN N2,Filter Paper,In-swath (North 2),"2,4-D",In-swath,,0,few,In-swath,1120000,,6342.016,,,,
Standard,2020,7/03 IN N4,Filter Paper,In-swath (North 4),"2,4-D",In-swath,,0,few,In-swath,917000,,5192.525,,,,
Standard,2020,7/03 IN N5,Filter Paper,In-swath (North 5),"2,4-D",In-swath,,0,few,In-swath,1050000,,5945.64,,,,
Standard,2020,7/03/2020 T1,PUF,Transect 1,"2,4-D",Southwest,,6.09570253,few,Downwind,10.1,1.158,,,,,
Standard,2020,7/03/2020 T2,PUF,Transect 2,"2,4-D",Southcentral,,6.09570253,few,Downwind,9.24,1.06,,,,,
Standard,2020,7/03/2020 T3,PUF,Transect 3,"2,4-D",Southeast,,6.09570253,few,Downwind,15.3,1.801,,,,,
Standard,2020,7/03/2020 UP1,PUF,Upwind 1,"2,4-D",Northwest,,6.09570253,few,Upwind,2.2,0.252,,,,,
Standard,2020,7/03/2020 UP2/T4,PUF,Transect 4/Upwind 2,"2,4-D",Northcentral,,6.09570253,few,Upwind,4.75,0.538,,,,,
Standard,2020,7/03/2020 UP3,PUF,Upwind 3,"2,4-D",Northeast,,6.09570253,few,Upwind,3.45,0.395,,,,,
Standard,2020,7/03/2020 IN1,PUF,In-swath 1,"2,4-D",In-swath,,0,few,In-swath,34.66,3.948,,,,,
Standard,2020,7/03/2020 IN2,PUF,In-swath 2,"2,4-D",In-swath,,0,few,In-swath,40.9,4.67,,,,,
Standard,2020,7/03/2020 IN3,PUF,In-swath 3,"2,4-D",In-swath,,0,few,In-swath,33.2,3.811,,,,,
Standard,2020,7/03/2020 IN4,PUF,In-swath 4,"2,4-D",In-swath,,0,few,In-swath,29.7,3.414,,,,,
Standard,2019,WS-1-Paper filter,Filter,WS-1-Paper filter,"2,4-D",Southwest,"Transect 3 (SW, downwind)",0.76,multiple,Downwind,572,,3.238958097,,,,
Standard,2019,WS-2-Paper filter,Filter,WS-2-Paper filter,"2,4-D",Southwest,"Transect 3 (SW, downwind)",1.52,multiple,Downwind,82.9,,0.469422424,,,,
Standard,2019,WS-4-Paper filter,Filter,WS-4-Paper filter,"2,4-D",Southwest,"Transect 3 (SW, downwind)",3.04,multiple,Downwind,12.5,,0.070781427,,,,
Standard,2019,WS-8-Paper filter,Filter,WS-8-Paper filter,"2,4-D",Southwest,"Transect 3 (SW, downwind)",6.1,multiple,Downwind,14.6,,0.082672707,,,,
Standard,2019,WS-16-Paper filter,Filter,WS-16-Paper filter,"2,4-D",Southwest,"Transect 3 (SW, downwind)",12.2,multiple,Downwind,2.62,,0.014835787,,,,
Standard,2019,WS-32-Paper filter,Filter,WS-32-Paper filter,"2,4-D",Southwest,"Transect 3 (SW, downwind)",24.3,multiple,Downwind,0.705,,0.003992072,,,,
Standard,2019,E-1-Paper filter,Filter,E-1-Paper filter,"2,4-D",East,"Transect 4 (E, upwind)",0.76,multiple,Upwind,41300,,233.8618347,,,,
Standard,2019,E-2-Paper filter,Filter,E-2-Paper filter,"2,4-D",East,"Transect 4 (E, upwind)",1.52,multiple,Upwind,0.417,,0.002361268,,,,
Standard,2019,E-4-Paper filter,Filter,E-4-Paper filter,"2,4-D",East,"Transect 4 (E, upwind)",3.04,multiple,Upwind,0,,0,,,,
Standard,2019,E-8-Paper filter,Filter,E-8-Paper filter,"2,4-D",East,"Transect 4 (E, upwind)",6.1,multiple,Upwind,0,,0,,,,
Standard,2019,E-16-Paper filter,Filter,E-16-Paper filter,"2,4-D",East,"Transect 4 (E, upwind)",12.2,multiple,Upwind,0,,0,,,,
Standard,2019,E-32-Paper filter,Filter,E-32-Paper filter,"2,4-D",East,"Transect 4 (E, upwind)",24.3,multiple,Upwind,0,,0,,,,
Standard,2019,WN-1-Paper filter,Filter,WN-1-Paper filter,"2,4-D",Northwest,"Transect 1 (NW, downwind)",0.76,multiple,Downwind,28700,,162.5141563,,,,
Standard,2019,WN-2-Paper filter,Filter,WN-2-Paper filter,"2,4-D",Northwest,"Transect 1 (NW, downwind)",1.52,multiple,Downwind,6.33,,0.035843715,,,,
Standard,2019,WN-4-Paper filter,Filter,WN-4-Paper filter,"2,4-D",Northwest,"Transect 1 (NW, downwind)",3.04,multiple,Downwind,4.09,,0.023159683,,,,
Standard,2019,WN-8-Paper filter,Filter,WN-8-Paper filter,"2,4-D",Northwest,"Transect 1 (NW, downwind)",6.1,multiple,Downwind,3.3,,0.018686297,,,,
Standard,2019,WN-16-Paper filter,Filter,WN-16-Paper filter,"2,4-D",Northwest,"Transect 1 (NW, downwind)",12.2,multiple,Downwind,2.65,,0.015005663,,,,
Standard,2019,WN-32-Paper filter,Filter,WN-32-Paper filter,"2,4-D",Northwest,"Transect 1 (NW, downwind)",24.3,multiple,Downwind,7.84,,0.044394111,,,,
Standard,2019,WC-1-Paper filter,Filter,WC-1-Paper filter,"2,4-D",Westcentral,"Transect 2 (W, downwind)",0.76,multiple,Downwind,3230,,18.28992072,,,,
Standard,2019,WC-2-Paper filter,Filter,WC-2-Paper filter,"2,4-D",Westcentral,"Transect 2 (W, downwind)",1.52,multiple,Downwind,7.07,,0.040033975,,,,
Standard,2019,WC-4-Paper filter,Filter,WC-4-Paper filter,"2,4-D",Westcentral,"Transect 2 (W, downwind)",3.04,multiple,Downwind,3.99,,0.022593431,,,,
Standard,2019,WC-8-Paper filter,Filter,WC-8-Paper filter,"2,4-D",Westcentral,"Transect 2 (W, downwind)",6.1,multiple,Downwind,1.2,,0.006795017,,,,
Standard,2019,WC-16-Paper filter,Filter,WC-16-Paper filter,"2,4-D",Westcentral,"Transect 2 (W, downwind)",12.2,multiple,Downwind,2.68,,0.015175538,,,,
Standard,2019,WC-32-Paper filter,Filter,WC-32-Paper filter,"2,4-D",Westcentral,"Transect 2 (W, downwind)",24.3,multiple,Downwind,2.22,,0.012570781,,,,
Standard,2019,IN-ES-Paper filter,Filter,IN-ES-Paper filter,"2,4-D",Inside,,0,few,In-swath,1820000,,10305.77576,,9661.664779,1287.813551,455.3108474
Standard,2019,IN-WS-Paper filter,Filter,IN-WS-Paper filter,"2,4-D",Inside,,0,few,In-swath,1470000,,8323.89581,,,,
Standard,2019,IN-WN-Paper filter,Filter,IN-WN-Paper filter,"2,4-D",Inside,,0,few,In-swath,1780000,,10079.2752,,,,
Standard,2019,IN-EN-Paper filter,Filter,IN-EN-Paper filter,"2,4-D",Inside,,0,few,In-swath,1970000,,11155.15289,,,,
Standard,2019,PUFF-N-Center-Puff,PUF,PUFF-N-Center-Puff,"2,4-D",North,,0,few,In-swath,50.8,5.87962963,,,,,
Standard,2019,PUFF-S-Center-Puff,PUF,PUFF-S-Center-Puff,"2,4-D",South,,0,few,In-swath,29.7,3.4375,,,,,
Standard,2019,PUFF-EAST-Puff,PUF,PUFF-EAST-Puff,"2,4-D",East,,0,few,Upwind,1.04,0.12037037,,,,,
Standard,2019,PUFF-WEST-Puff,PUF,PUFF-WEST-Puff,"2,4-D",West,,0,few,Downwind,4.52,0.523148148,,,,,
Standard,2019,WS-0-Paper filter,Filter,WS-0-Paper filter,"2,4-D",Southwest,"Transect 3 (SW, downwind)",0,few,In-swath,1950000,,11041.9026,,,,
Standard,2019,E-0-Paper filter,Filter,E-0-Paper filter,"2,4-D",East,"Transect 4 (E, upwind)",0,few,In-swath,1340000,,7587.768969,,,,
Standard,2019,WN-0-Paper filter,Filter,WN-0-Paper filter,"2,4-D",Northwest,"Transect 1 (NW, downwind)",0,few,In-swath,1470000,,8323.89581,,,,
Standard,2019,WC-0-Paper filter,Filter,WC-0-Paper filter,"2,4-D",Westcentral,"Transect 2 (W, downwind)",0,few,In-swath,1850000,,10475.65119,,,,
